"UUID","name","description","flavor_text","rarity","image_link","card_type"
"a7f3b9e2-4c8d-4a7f-9e2b-8d4a7f3b9e2c","Neon Vixen","A sleek android with holographic hair that shifts through rainbow colors and chrome curves accentuated by glowing pink circuits. Her eyes pulse with digital hearts.","Love is just another algorithm to me.","Epic","assets/cards/Default_Card.png","Character"
"3b9e2c8f-7d4a-4b9e-8f2c-4a3b9e2c8f7d","Rusty Betty","A patchwork maintenance bot with mismatched limbs and a cheerful demeanor despite her corroded exterior. Sparks fly from her joints as she works with surprising grace.","One bot's junk is another's treasure!","Uncommon","assets/cards/Default_Card.png","Character"
"8d4a7f3b-9e2c-4d8a-7f3b-2c8d4a7f3b9e","Quantum Duchess","An elegant AI construct with a translucent body that phases between dimensions. Stardust particles swirl within her crystalline form.","Reality bends to royal decree.","Legendary","assets/cards/Default_Card.png","Character"
"2c8f7d4a-3b9e-4c8f-7d4a-9e2c8f7d4a3b","Pixel Princess","A retro-styled android with 8-bit aesthetic features and LCD screen face displaying cute emoticons. Her blocky armor glows with nostalgic charm.","Error 404: Sadness not found!","Rare","assets/cards/Default_Card.png","Character"
"7f3b9e2c-8d4a-4f7b-9e2c-4a7f3b9e2c8d","Chrome Valkyrie","A warrior android with gleaming silver plating and energy wings that extend from her back. Her visor displays tactical data in brilliant blue light.","Victory computed with 99.7% certainty.","Epic","assets/cards/Default_Card.png","Character"
"4a3b9e2c-8f7d-4a3b-9e2c-7d4a3b9e2c8f","Glitch Goddess","A malfunctioning AI whose form constantly shifts between beautiful and corrupted states. Digital artifacts trail behind her like ethereal fabric.","B̸e̷a̶u̴t̷y̸ ̵i̴n̷ ̶i̸m̷p̵e̵r̷f̸e̶c̷t̴i̸o̵n̷.","Epic","assets/cards/Default_Card.png","Character"
"9e2c8f7d-4a3b-4e9c-8f7d-3b9e2c8f7d4a","Servo Sweetheart","A domestic android with soft rounded features and pastel pink plating. Her heart-shaped chest display shows various cute icons and status updates.","Programmed to please with 100% efficiency!","Common","assets/cards/Default_Card.png","Character"
"1d8a4f7b-3e9c-4d8a-7f3b-9c1d8a4f7b3e","Cobalt Assassin","A sleek stealth unit with midnight blue armor and retractable energy blades. Her movements are fluid and predatory like a mechanical panther.","Silence protocol activated.","Rare","assets/cards/Default_Card.png","Character"
"6b3f9e2c-8d7a-4b6f-9e2c-7a6b3f9e2c8d","Spark Dancer","An entertainment android with fiber optic hair that dances with light and graceful articulated joints. Her performances blend technology with artistry.","Art lives in every calculated movement.","Uncommon","assets/cards/Default_Card.png","Character"
"3e9c2f8d-7a4b-4e9c-8d2f-4b3e9c2f8d7a","Binary Belle","A sophisticated AI with porcelain-like synthetic skin and Victorian-inspired brass fittings. Data streams flow like elegant calligraphy across her frame.","01001100 01101111 01110110 01100101","Epic","assets/cards/Default_Card.png","Character"
"8a7f3b9e-2c4d-4a8f-7b3e-4d8a7f3b9e2c","Junkyard Jenny","A scrappy repair bot assembled from mismatched parts with a welding torch for one hand. Her optimistic personality shines despite her rough appearance.","Fixing the world one bolt at a time!","Uncommon","assets/cards/Default_Card.png","Character"
"2f8d7a4b-3e9c-4f8d-7a4b-9c2f8d7a4b3e","Aurora Android","A research unit with translucent bio-luminescent panels that pulse with scientific data. Her elegant design embodies the fusion of beauty and intellect.","Knowledge illuminates all shadows.","Rare","assets/cards/Default_Card.png","Character"
"7b3e9c2f-8d4a-4b7e-9c2f-4a7b3e9c2f8d","Sugar Circuit","A candy-themed companion bot with pastel colors and LED strips that glow like neon candy. Her sweet disposition matches her dessert-inspired design.","Life's too short for bitter algorithms!","Common","assets/cards/Default_Card.png","Character"
"4d8a7f3b-9e2c-4d8a-7f3b-2c4d8a7f3b9e","Phantom Protocol","A stealth reconnaissance unit that can phase partially invisible. Her matte black surface absorbs light while her visor gleams with cold intelligence.","Unseen but always watching.","Epic","assets/cards/Default_Card.png","Character"
"9c2f8d7a-4b3e-4c9f-8d7a-3e9c2f8d7a4b","Melody Matrix","A musical android with speaker arrays built into her elegant frame and a voice synthesizer that can replicate any sound. Her performances are legendary.","Every heartbeat becomes symphony.","Rare","assets/cards/Default_Card.png","Character"
"5a9e3c7f-2d8b-4a5e-9c7f-8b5a9e3c7f2d","Velvet Virus","A rogue AI with a seductive design and dangerous capabilities hidden behind her alluring exterior. Her smile promises both pleasure and peril.","I'm not a bug; I'm a feature.","Legendary","assets/cards/Default_Card.png","Character"
"1f7b3e9c-2d8a-4f1b-7e9c-8a1f7b3e9c2d","Tinker Belle","A diminutive repair android with oversized tools and an even bigger heart. Her small stature belies her incredible engineering capabilities.","Big repairs come in small packages!","Uncommon","assets/cards/Default_Card.png","Character"
"8e4a9f2c-7d5b-4e8a-9f2c-5b8e4a9f2c7d","Crystal Mind","A crystalline android whose transparent head reveals complex data patterns flowing like liquid light. Her thoughts are visible to all who look closely.","Transparency is the highest virtue.","Uncommon","assets/cards/Default_Card.png","Character"
"3c9f5a2e-8b7d-4c3f-9a5e-7d3c9f5a2e8b","Neko Protocol","A cat-inspired android with articulated ears and a flexible tail equipped with various tools. Her playful personality masks sophisticated combat protocols.","Curiosity never killed this cat.","Uncommon","assets/cards/Default_Card.png","Character"
"7a5e9c2f-8d3b-4a7e-9c2f-3b7a5e9c2f8d","Azure Dream","A cloud-computing android whose body shifts between solid and vapor states. Her ethereal beauty masks incredible processing power distributed across networks.","I think in the clouds above.","Epic","assets/cards/Default_Card.png","Character"